name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Carthage,5282,Valid,"Iron, IIIAB",127000.0,Found,1840,36.26667,-85.98333000000002,"(36.26667, -85.98333)",US,United States,Americas,Northern America,
Casas Grandes,5285,Valid,"Iron, IIIAB",1545000.0,Found,1867,30.4,-107.8,"(30.4, -107.8)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Casimiro de Abreu,5289,Valid,"Iron, IIIAB",25000.0,Found,1947,-22.46667,-42.21667,"(-22.46667, -42.21667)",BR,Brazil,Americas,Latin America and the Caribbean,South America
Castray River,5294,Valid,Iron,10.0,Found,1899,-41.5,145.41666999999995,"(-41.5, 145.41667)",AU,Australia,Oceania,Australia and New Zealand,
Chambord,5318,Valid,"Iron, IIIAB",6600.0,Found,1904,48.45,-72.06667,"(48.45, -72.06667)",CA,Canada,Americas,Northern America,
Chañaral,5319,Valid,"Iron, IIIAB",1207.0,Found,1884,-26.5,-70.25,"(-26.5, -70.25)",CL,Chile,Americas,Latin America and the Caribbean,South America
Charcas,5326,Valid,"Iron, IIIAB",1400000.0,Found,1804,23.08333,-101.01666999999999,"(23.08333, -101.01667)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Chebankol,5335,Valid,"Iron, IAB-sHL",127760.0,Found,1938,53.666669999999996,88.0,"(53.66667, 88.0)",RU,Russia,Europe,Eastern Europe,
Chilkoot,5351,Valid,"Iron, IIIAB",43000.0,Found,1881,59.333330000000004,-136.0,"(59.33333, -136.0)",US,United States,Americas,Northern America,
Chinautla,5352,Valid,"Iron, IVA-an",5720.0,Found,1902,14.5,-90.5,"(14.5, -90.5)",GT,Guatemala,Americas,Latin America and the Caribbean,Central America
Chinga,5353,Valid,"Iron, ungrouped",209400.0,Found,1913,51.05833,94.4,"(51.05833, 94.4)",RU,Russia,Europe,Eastern Europe,
Chulafinnee,5362,Valid,"Iron, IIIAB",16220.0,Found,1873,33.5,-85.66667,"(33.5, -85.66667)",US,United States,Americas,Northern America,
Chupaderos,5363,Valid,"Iron, IIIAB",24300000.0,Found,1852,27.0,-105.1,"(27.0, -105.1)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Cleburne,5377,Valid,"Iron, IVA",6800.0,Found,1907,32.31667,-97.41667,"(32.31667, -97.41667)",US,United States,Americas,Northern America,
Cleveland,5379,Valid,"Iron, IIIAB",115000.0,Found,1860,34.88333,-84.78333,"(34.88333, -84.78333)",US,United States,Americas,Northern America,
Clinton,5381,Valid,Iron,7700.0,Found,1950,36.08333,-84.2,"(36.08333, -84.2)",US,United States,Americas,Northern America,
Coldwater (iron),5398,Valid,Iron,18400.0,Found,1923,37.26667,-99.33333,"(37.26667, -99.33333)",US,United States,Americas,Northern America,
